primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
Anthony Russo,3,251600000.0,1456753604.04,36418840101.0,4.5481432913035285
Joe Russo,3,251600000.0,1456753604.04,36418840101.0,4.5481432913035285
Bill Condon,2,82470588.23529412,824678801.7058823,28039079258.0,15.921179915582574
Zack Snyder,5,234615384.6153846,611639194.5384616,15902619058.0,1.485209757871795
Kenneth Branagh,4,69770731.70731707,386697302.24390244,15854589392.0,33.00971301049934
Carlos Saldanha,3,101657142.85714285,443250776.4285714,15513777175.0,3.4968947112345314
Peter Jackson,3,250000000.0,974316014.6666666,14614740220.0,2.8972640586666665
Lee Unkrich,2,181250000.0,865725956.25,13851615300.0,3.7561341210714283
James Mangold,3,125380952.38095239,579522388.8571428,12169970166.0,3.6040488946531064
Jon Favreau,3,114138888.8888889,670313683.1666666,12065646297.0,5.057181258926586
Mike Mitchell,4,123478260.86956522,516976837.5217391,11890467263.0,3.144115001933484
Rich Moore,2,157000000.0,775401171.6666666,11631017575.0,4.028913643555556
Gareth Edwards,3,124895833.33333333,483718558.875,11609245413.0,4.284497892447916
Ridley Scott,6,138680851.06382978,246889947.21276596,11603827519.0,0.8329085576215491
Kay Cannon,2,47086666.666666664,378736313.6,11362089408.0,44.34143220260882
James Wan,4,125590909.0909091,968607690.5454545,10654684596.0,13.306882681180225
Shane Black,3,146571428.57142857,748591565.8571428,10480281922.0,3.160642531558441
Joss Whedon,3,110428571.42857143,496128785.5714286,10418704497.0,2.3407376827371107
Katharine Round,2,45720000.0,137859394.96,10339454622.0,28.619861013743606
Byron Howard,2,180000000.0,901351695.2727273,9914868648.0,4.557874963356643
Bryan Singer,4,174000000.0,563250602.7647059,9575260247.0,3.3284943335093917
Don Hall,3,103750000.0,396431748.25,9514361958.0,2.1012444861111113
Eric Darnell,2,138117647.05882353,545756055.7058823,9277852947.0,2.8957799039000562
James Gunn,3,61102941.176470585,267782923.97058824,9104619415.0,2.321231658823528
Chris Williams,2,156428571.42857143,643778992.0,9012905888.0,3.1224760952380954
Sam Mendes,2,255555555.55555555,982245837.6666666,8840212539.0,3.0967653707407403
Ruben Fleischer,3,66083333.333333336,368134947.4166667,8835238738.0,2.347399789367816
Jon Watts,2,146666666.66666666,733495901.3333334,8801950816.0,3.1960569333333333
Peyton Reed,2,130000000.0,574477761.5333333,8617166423.0,3.4190597041025628
Jake Kasdan,3,67538461.53846154,655775081.9230769,8525076065.0,8.066696145985155
Tim Burton,5,93400000.0,330211671.28,8255291782.0,1.351464683884163
Colin Trevorrow,2,179291666.66666666,1374782773.0,8248696638.0,6.373647658914728
Marc Webb,3,165785714.2857143,582451665.6428572,8154323319.0,2.8811903074304266
Marilyn Barnes,2,55714285.71428572,575504062.4285715,8057056874.0,13.048581639583333
Taika Waititi,3,93083333.33333333,427470795.8333333,7694474325.0,2.9432405305555545
Tom McGrath,3,139166666.66666666,636741842.3333334,7640902108.0,3.527968376565871
Rob Marshall,3,215215384.6153846,572838388.5384616,7446899051.0,1.9546431681559835
Francis Lawrence,5,112230769.23076923,566677927.0,7366813051.0,3.68485902763851
Conrad Vernon,3,84062500.0,453537386.3125,7256598181.0,5.0972206633393835
Christopher Nolan,4,217500000.0,875734644.5,7005877156.0,3.0506579389867423
Ryan Coogler,3,80992857.14285715,498049340.71428573,6972690770.0,5.334565097134278
Christopher Miller,3,53052631.578947365,364148287.57894737,6918817464.0,5.722891723609022
Phil Lord,3,53052631.578947365,364148287.57894737,6918817464.0,5.722891723609022
Pierre Coffin,4,72875000.0,851327382.75,6810619062.0,10.570681744170942
Guy Ritchie,3,127666666.66666667,443909987.0,6658649805.0,5.777612844975825
Matthew Vaughn,4,109200000.0,324342632.8,6486852656.0,2.2321022990209256
Steven Spielberg,8,77071428.57142857,227851841.64285713,6379851566.0,2.5019244637872835
Chris Renaud,4,73777777.77777778,706047831.8888888,6354430487.0,8.575490051034832
Andy Muschietti,2,18200000.0,235993550.48,5899838762.0,10.48173098285714
Ryan Fleck,2,112375000.0,704400825.0,5635206600.0,3.3218536383928567
Anna Boden,2,112375000.0,704400825.0,5635206600.0,3.3218536383928567
Matt Reeves,3,116923076.92307693,415663168.84615386,5403621195.0,1.9600105534353414
Dean DeBlois,3,153800000.0,523691505.8,5236915058.0,2.4522876815503873
Andrew Stanton,2,237500000.0,651996646.5,5215973172.0,2.0671799824999995
Alex Kurtzman,2,97000000.0,279652288.3333333,5033741190.0,1.6985794393162392
Raja Gosnell,2,110000000.0,446366523.0,4910031753.0,3.0578774818181826
Michael Bay,4,150111111.1111111,542580983.5555556,4883228852.0,2.501279649067181
Brad Peyton,5,91937500.0,300941372.0625,4815061953.0,2.1258574755506947
Jennifer Yuh Nelson,3,122800000.0,480646961.2,4806469612.0,2.477410275585435
Chris Sanders,3,141727272.72727272,426221020.6363636,4688431227.0,1.7936511535353532
Jonathan Liebesman,2,92321428.57142857,332578864.4285714,4656104102.0,6.311110037248679
Yimou Zhang,2,66000000.0,162010365.14285713,4536290224.0,6.175295767619047
Clint Eastwood,7,46681818.18181818,206106271.63636363,4534337976.0,2.9718099579250636
Will Gluck,4,57071428.571428575,160735222.0,4500586216.0,2.2189855306887756
M. Night Shyamalan,5,36315789.473684214,229959500.0526316,4369230501.0,24.419008449811074
Genndy Tartakovsky,3,79500000.0,435518987.8,4355189878.0,4.608915392432126
J.A. Bayona,3,96571428.57142857,621332667.0,4349328669.0,3.811627863279265
Brett Ratner,3,44459459.45945946,117295712.27027027,4339941354.0,1.8991835366704524
David Leitch,3,74444444.44444445,478297117.2222222,4304674055.0,4.348212904040404
Ron Howard,5,97173913.04347827,186744435.08695653,4295122007.0,1.220818601333373
Louis Leterrier,3,65588235.294117644,252543303.6470588,4293236162.0,2.382715705142857
Guillermo del Toro,4,30557699.55357143,76126185.41071428,4263066383.0,16.238266413875113
Mike Thurmeier,2,100714285.71428572,606846019.8571428,4247922139.0,5.157473072896528
Todd Phillips,3,66153846.15384615,317247362.2307692,4124215709.0,3.3525287889497033
Scott Derrickson,3,73615384.61538461,314212348.46153843,4084760530.0,10.476543573892778
Marc Forster,3,115769230.76923077,311063734.15384614,4043828544.0,1.5034670239676113
Alejandro G. Iñárritu,3,71785714.28571428,270554846.71428573,3787767854.0,2.8909342632653066
Nicholas Stoller,5,28250000.0,187137260.2,3742745204.0,7.868093415039681
Steve Martino,2,97285714.28571428,519951693.0,3639661851.0,4.412395496149465
Paul Feig,4,67866666.66666667,241690325.26666668,3625354879.0,5.005510301800502
Elizabeth Banks,3,34451612.90322581,114070022.12903225,3536170686.0,2.488365876529476
Jon M. Chu,6,56200000.0,225367994.73333332,3380519921.0,3.5949609403907203
Jon Turteltaub,3,154000000.0,332096862.7,3320968627.0,1.2744287950642055
F. Gary Gray,3,104666666.66666667,365302717.5555556,3287724458.0,3.316288732282828
Justin Lin,2,170000000.0,409392538.25,3275140306.0,1.6216873120540545
David F. Sandberg,3,27000000.0,216336593.13333333,3245048897.0,21.336643032941172
Kyle Balda,2,74666666.66666667,1076597224.3333333,3229791673.0,13.424319518018018
Peter Farrelly,5,24641025.64102564,82095569.3076923,3201727203.0,2.6860340029247816
Shawn Levy,4,103833333.33333333,263659919.16666666,3163919030.0,1.4601414975275426
David O. Russell,5,44592592.59259259,115710455.48148148,3124182298.0,3.051800028604729
Darren Aronofsky,2,91000000.0,345642946.6666667,3110786520.0,9.303408282051281
Luc Besson,4,37853113.82857143,88573364.48571429,3100067757.0,1.167319909091808
Jaume Collet-Serra,5,26793750.0,88517753.625,2832568116.0,1.5995292045741294
Martin Scorsese,4,65131578.94736842,73964587.05263157,2810654308.0,-0.08967064889926435
Josh Trank,2,88458333.33333333,229356105.41666666,2752273265.0,2.88695874454365
Joseph Kosinski,2,99500000.0,222076269.0,2664915228.0,0.961026173355263
Tim Story,8,23283510.129032258,84766338.64516129,2627756498.0,3.9998949795616907
Seth Gordon,4,31000000.0,107186611.5,2572478676.0,1.3001477123460583
