primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
Jack Kirby,20,199629166.66666666,819965765.2916666,19679178367.0,3.049324615314058
Stan Lee,19,195052380.95238096,813667235.5714285,17087011947.0,3.091164543211361
Michael Arndt,5,159000000.0,750108759.0,16502392698.0,3.633483669418083
Meg LeFauve,3,175657894.7368421,855140526.7894737,16247670009.0,3.8798251448220564
Marilyn Barnes,2,70000000.0,724800461.0,13046408298.0,15.17241319861111
Jennifer Lee,4,147090909.0909091,1029365610.0909091,11323021711.0,5.871973941476906
Linda Woolverton,5,105220000.0,713403037.2666667,10701045559.0,8.902441204997476
Tom J. Astle,2,48219178.08219178,145229862.69863012,10601779977.0,29.465221348503704
Matt Ember,2,48219178.08219178,145229862.69863012,10601779977.0,29.465221348503704
Joe Simon,6,231733333.33333334,1162106788.1111112,10458961093.0,3.78886686329952
Christopher Markus,7,191100000.0,931984553.7,9319845537.0,3.3947741541327465
Stephen McFeely,7,191100000.0,931984553.7,9319845537.0,3.3947741541327465
Larry Lieber,8,190000000.0,1001747703.1111112,9015729328.0,3.907555026986202
Ken Daurio,5,72800000.0,810370472.7,8103704727.0,9.944655311481382
Cinco Paul,5,72800000.0,810370472.7,8103704727.0,9.944655311481382
Billy Frolick,3,115923076.92307693,538726068.2307693,7003438887.0,2.8146699694120185
Charles Perrault,3,62206250.0,431282724.25,6900523588.0,41.75789759358969
Evan Spiliotopoulos,3,86636363.63636364,608632831.9090909,6694961151.0,10.666223972423502
Chris Weitz,2,59020000.0,442406815.46666664,6636102232.0,44.392576557783414
Jim Starlin,3,275150000.0,1567537469.75,6270149879.0,4.608146047096189
Kay Cannon,4,45664705.88235294,363317976.64705884,6176405603.0,39.97146279729435
Aditya Halbe,2,42956250.0,377312461.0,6036999376.0,69.35269588042195
Stephen Chbosky,3,71625000.0,742570816.125,5940566529.0,15.581086553245193
Don Heck,3,242500000.0,1483204265.25,5932817061.0,4.846262617941177
Adrian Molina,3,179687500.0,733175996.5,5865407972.0,3.107291448863095
Lee Unkrich,2,178571428.57142857,836704018.2857143,5856928128.0,3.6720964797959184
Jared Bush,2,150000000.0,801194044.0,5608358308.0,4.341293626666667
Brian Lynch,5,81375000.0,633065184.5,5064521476.0,7.1380756026862855
Steve Englehart,2,256666666.66666666,1622378638.6666667,4867135916.0,5.062914266666667
Steve Gan,2,256666666.66666666,1622378638.6666667,4867135916.0,5.062914266666667
Keith Giffen,2,256666666.66666666,1622378638.6666667,4867135916.0,5.062914266666667
Bill Mantlo,2,256666666.66666666,1622378638.6666667,4867135916.0,5.062914266666667
Guillermo del Toro,8,56014535.925925925,177913079.07407406,4803653135.0,13.892865519044737
Mark Millar,6,126000000.0,560636009.625,4485088077.0,3.09817600138379
Ji Zhang,2,26529411.76470588,65386169.926470585,4446259555.0,2.345846127952317
Jason Fuchs,3,131666666.66666667,729076063.5,4374456381.0,4.9923686697660825
Irene Mecchi,2,169900000.0,616264865.7142857,4313854060.0,3.346249163828285
Brenda Chapman,2,169900000.0,616264865.7142857,4313854060.0,3.346249163828285
William Moulton Marston,4,180000000.0,716250940.3333334,4297505642.0,3.3270671564999996
M. Night Shyamalan,6,23684210.52631579,210154705.21052632,3992939399.0,24.882250406896095
John Logan,8,78947368.42105263,202866705.68421054,3854467408.0,0.7745106158595675
Joss Whedon,5,90327272.72727273,348315134.6363636,3831466481.0,2.0231636257117454
David S. Goyer,5,164142857.14285713,546207096.7142857,3823449677.0,2.1332464105768394
Christopher Nolan,5,195000000.0,750836000.4,3754180002.0,2.9010485326818185
Ethan Reiff,3,151923076.92307693,287389851.2307692,3736068066.0,0.8295609953313353
Cyrus Voris,3,151923076.92307693,287389851.2307692,3736068066.0,0.8295609953313353
Mark Bomback,5,105857142.85714285,265946593.42857143,3723252308.0,1.4761726716150554
Amanda Silver,6,136666666.66666666,618878534.3333334,3713271206.0,3.067313225729251
Rick Jaffa,6,136666666.66666666,618878534.3333334,3713271206.0,3.067313225729251
Ted Elliott,4,262120000.0,727678587.4,3638392937.0,1.9859413796330316
Terry Rossio,4,262120000.0,727678587.4,3638392937.0,1.9859413796330316
Mark Andrews,2,197857142.85714287,515773898.85714287,3610417292.0,1.7165032679536678
Jeff Pinkner,5,83750000.0,450913894.25,3607311154.0,3.2338513595198126
Phil Johnston,4,110000000.0,598563828.3333334,3591382970.0,3.1674251684126986
Derek Connolly,5,139150000.0,716352967.6,3581764838.0,3.9544994359888195
Rich Moore,2,153750000.0,888700092.25,3554800369.0,4.849438263333333
Jim Reardon,2,153750000.0,888700092.25,3554800369.0,4.849438263333333
Chris Morgan,5,150600000.0,710075702.8,3550378514.0,2.9978645121920184
Zack Snyder,4,155833333.33333334,589980630.5,3539883783.0,2.802170247121212
Steven McNiven,2,188500000.0,877765403.5,3511061614.0,3.7032151803307087
Jonathan Aibel,6,114777777.77777778,380121531.3333333,3421093782.0,2.3994929427360936
Glenn Berger,6,114777777.77777778,380121531.3333333,3421093782.0,2.3994929427360936
Andrew Stanton,3,218750000.0,848522002.0,3394088008.0,3.1462083849999996
Gary Scott Thompson,3,188333333.33333334,1127910838.3333333,3383732515.0,4.991323521052632
Lewis Carroll,2,111285714.28571428,479057348.85714287,3353401442.0,1.4301936491596636
Yûsuke Yamada,2,84714285.71428572,462643199.28571427,3238502395.0,2.2911697732533014
Marc Hyman,2,153000000.0,646101159.4,3230505797.0,3.2903959609195397
Steve Ditko,4,190000000.0,755864379.75,3023457519.0,3.02972026280303
Mark Burton,3,124833333.33333333,503322460.8333333,3019934765.0,2.653166109352142
